UniProtID	GeneID	Origin	Inf0h_counts	Inf15h_counts	Inf24h_counts	Inf48h_counts	Inf72h_counts	Inf0h_TMM	Inf15h_TMM	Inf24h_TMM	Inf48h_TMM	Inf72h_TMM	logFC_15h	pval_15h	FDR_15h	logFC_24h	pval_24h	FDR_24h	logFC_48h	pval_48h	FDR_48h	logFC_72h	pval_72h	FDR_72h	Ttest_FDR_24h	Ttest_FDR_48h	Ttest_FDR_72h
K9US65	BDLF4	Virus	22.83333333	1411	731.5	258	318.5	1.145769446	46.13373767	36.22332651	12.94684172	15.77078879	6.686265686	7.51E-43	2.66E-39	5.261816547	2.03E-09	3.09E-07	3.683833227	1.90E-15	3.07E-13	3.512332563	0.000312246	0.02095585	1.00E-05	0.89736	0.66996
G3CKQ1	BFLF1	Virus	516.8333333	21097	14039	11435.5	10981	25.10043378	689.7827525	708.2386818	576.4459054	580.728834	4.585200584	6.50E-32	1.70E-29	5.129178547	7.59E-16	5.10E-13	4.41178577	1.29E-26	1.74E-23	4.412037002	1.42E-05	0.00318417	0	0.243	0.48465
A0A0C7TCK2	BFLF2	Virus	348	21251	9644	8560.5	6436	17.2859133	694.8179017	493.099185	438.2508979	341.4847515	4.652523605	1.33E-32	3.63E-30	5.24666439	4.08E-16	3.29E-13	4.637562781	3.93E-27	7.93E-24	4.221924794	1.90E-07	0.000218563	1.00E-05	0.81024	0.97155
I1YP04	BFRF1	Virus	774.6666667	35469	24976.5	30593	20773	39.09048092	1159.686422	1292.377007	1544.059663	1094.288772	4.801695658	2.93E-34	1.02E-31	5.404776326	8.60E-17	2.48E-13	5.255691722	4.14E-25	2.57E-22	4.997141548	1.56E-05	0.003413162	1.00E-05	0.37228	0.82623
R4QWK4	BFRF1A	Virus	7	370	505	327	285	0.348258937	12.09743653	25.93262091	16.67253557	15.37798269	5.235750948	1.36E-25	2.13E-23	7.224834882	1.06E-12	3.54E-10	5.507834592	1.88E-20	4.34E-18	5.918095251	0.000977627	0.036029336	3.00E-05	0.96303	0.40517
A0A0C7T855	BFRF2	Virus	206.3333333	253	1722	1332	1036.5	10.60722571	8.272030922	91.5158238	69.1426198	56.1007703	4.427566892	1.55E-19	1.71E-17	3.2958193	1.95E-11	5.62E-09	2.754015661	4.11E-15	6.14E-13	2.225814076	3.63E-05	0.005930535	0.00014	0.96303	0.97155
Q3KSU9	BFRF3	Virus	363.5	6902	4079	3967.5	3765	19.90343554	225.6662349	224.9542781	216.4145761	218.167427	5.303965832	2.37E-38	1.68E-35	4.756890676	0.176104138	0.406755145	4.458867223	0.197144967	0.477920143	4.04330581	0.007705237	0.094800262	0.00112	0.21111	0.97155
A0A0C7TKR2	BGLF1	Virus	84.33333333	1772	5361	2472	2752	3.985364651	57.93691223	265.7607403	123.8225001	143.1089909	5.371687631	1.53E-35	6.02E-33	7.004890019	0.003584246	0.029971585	4.880597057	6.44E-25	3.47E-22	5.057827945	2.10E-05	0.004126504	0	0.96303	0.96996
K9URE6	BGLF2	Virus	308	11284	8376	7194	8515.5	16.3401905	368.9391183	458.794832	387.9681243	491.6503992	5.678663108	1.18E-42	2.79E-39	5.262887843	5.38E-16	3.94E-13	4.611747559	3.07E-26	3.54E-23	4.515133504	0.000116476	0.013694115	1.00E-05	0.66773	0.97155
Q3KSR4	BGLF3	Virus	32.5	666	2167.5	851.5	866.5	1.524632048	21.77538575	104.6694695	40.81555555	42.27279315	3.29176004	8.27E-17	8.13E-15	7.030941393	0.0314784	0.136717338	4.569432379	1.44E-20	3.62E-18	4.497922656	2.77E-06	0.001242074	0.00204	0.96303	0.97155
