"UniProtID"	"GeneID"	"Origin"	"Mock0h_counts"	"Inf2h_counts"	"Inf4h_counts"	"Inf6h_counts"	"Inf9h_counts"	"Inf12h_counts"	"Inf18h_counts"	"Mock0h_TMM"	"Inf2h_TMM"	"Inf4h_TMM"	"Inf6h_TMM"	"Inf9h_TMM"	"Inf12h_TMM"	"Inf18h_TMM"	"logFC_2h"	"pval_2h"	"FDR_2h"	"logFC_4h"	"pval_4h"	"FDR_4h"	"logFC_6h"	"pval_6h"	"FDR_6h"	"logFC_9h"	"pval_9h"	"FDR_9h"	"logFC_12h"	"pval_12h"	"FDR_12h"	"logFC_18h"	"pval_18h"	"FDR_18h"
"H9E981"	"RS1"	"Virus"	4088.25	28180	33003	39362	37999	40199	47851	109.759459005143	753.591406089959	901.692813754329	1099.38117559845	1071.36287100895	1135.35705718713	1362.01112966607	2.85414575284831	5.48853502662309e-123	2.95072086931298e-120	3.08559381328032	1.38750149550454e-144	3.58489275282952e-142	3.34799954901668	2.2903598744255e-210	4.84445815863333e-208	3.25926159080152	2.0007318936296e-116	3.17479774575498e-114	3.28831744302761	5.0972159859638e-48	6.71389901849308e-46	3.61093677059599	1.00058063446822e-43	1.36961831553385e-41
"H9E907"	"UL1"	"Virus"	439.5	1646	4850	9382	12491	14735	14038	11.7999416328486	44.0174398305207	132.509473281474	262.039382893772	352.177521034047	416.166726477086	399.571842558198	2.15254810753868	9.46829561059001e-55	1.69676712877984e-52	3.63075625499005	2.89460246817698e-157	8.41364450750108e-155	4.50883801384299	2.62034899231453e-288	1.21933573109036e-285	4.85400731391242	4.55079707668071e-202	2.64780543244873e-199	5.01032928333062	5.37491500814197e-90	4.69028520897989e-87	4.94301972734721	3.36201458298872e-69	1.67644455741745e-66
"H9E916"	"UL10"	"Virus"	99.25	777	2028	4489	6541	8640	11202	2.66446461655439	20.7785849017707	55.4080849102742	125.37782880091	184.420235776455	244.023109383239	318.849108159064	3.26725690195102	5.03544365243091e-73	1.21354192023585e-70	4.57795813973888	7.84955041980239e-163	2.38080277080615e-160	5.6605019034995	3.06793527186195e-305	1.94674438159967e-302	6.09240880818171	9.34214911675336e-238	1.6306721283293e-234	6.36443101655198	7.16544059311696e-118	1.25054851951374e-114	6.68660317393005	3.75060373313569e-101	1.30914823305101e-97
"F8REU5"	"UL12"	"Virus"	2546	13825	36970	49417	56326	56725	62504	68.3601344729034	369.709055684659	1010.07736643631	1380.21745730777	1588.08350410405	1602.10774071345	1779.0880785908	2.50134661280609	2.5964341079396e-95	9.07323899019493e-93	3.95360877923742	1.38722962518169e-216	1.07525709614083e-213	4.41035351086025	0	0	4.60105049271761	1.88768317713146e-202	1.1981639947938e-199	4.5966434449443	1.48068052616625e-81	6.46039422072911e-79	4.52096551808753	4.45669829709741e-62	1.55561054060185e-59
"E3UTT9"	"UL13"	"Virus"	1058.25	5596	9314	10911	8307	8643	6942	28.3993153928151	149.648598597566	254.472831782196	304.744372921972	234.211725820977	244.107839629553	197.594225034835	2.44614490413328	3.41287460947473e-85	1.03706872372256e-82	3.27025673556593	1.49206519435674e-147	4.00332569070484e-145	3.59653133679214	1.60962977088116e-215	3.51100493773454e-213	3.00860465074727	7.84179736929635e-96	9.6055139004258e-94	2.8833773495685	8.56238090717673e-38	8.79029134014717e-36	2.81391697487422	1.74764318667612e-28	1.58445416703714e-26
"H9E920"	"UL14"	"Virus"	1252.25	5551	9286	9908	9581	9299	9533	33.6150776493347	148.445205649587	253.707828637479	276.730569783787	270.131521017309	262.635520156799	271.343380474947	2.16498323268574	3.03631960568573e-69	6.84543152391536e-67	2.97469995680885	6.87936518345779e-127	1.45425610666065e-124	3.14114585836891	3.52419093073498e-173	5.72066341779771e-171	3.01715079748401	3.04047646573509e-97	3.85974666977498e-95	2.8870499579576	6.0068756382259e-38	6.2588057955903e-36	2.96541984672482	2.9662685012703e-31	3.0010899141113e-29
"A0A193GSF3"	"UL15"	"Virus"	74.25	1914	2661	2913	2362	2507	2547	1.99365728515321	51.1843133873734	72.7026202890728	81.3601281570621	66.5954130720053	70.8062425027523	72.4967575862467	5.04870924606772	1.00562467115081e-170	3.51415541333651e-167	5.41806319579571	2.68657458603639e-209	1.56179535934916e-206	5.456288722056	3.74992818369325e-254	1.18974994191722e-251	5.09616998670822	1.26176078893696e-155	3.26281993642884e-153	5.09326589154452	2.43000951254583e-78	8.0780459081345e-76	4.84031218595709	8.39890022382635e-60	2.6651237482969e-57
"G8HBC9"	"UL16"	"Virus"	267.25	700	1564	2559	3204	3679	5050	7.17681738066494	18.7194458574511	42.7308899406651	71.4729035200556	90.3351835235838	103.907525395942	143.741117318628	1.43020447274494	2.58084878779703e-21	2.7750080273713e-19	2.5594048292744	9.90967687481769e-72	1.25690737961324e-69	3.24511733247748	1.77309727668945e-138	2.21003910558792e-136	3.63099956625809	7.36084442440054e-113	1.09347693130137e-110	3.87068536144336	2.5986234082845e-57	4.53524750330852e-55	4.3229327313823	1.15651212737379e-54	2.69120372039882e-52
"F8REV0"	"UL17"	"Virus"	409.5	1019	1399	1975	1850	2193	2576	10.9967432982661	27.2501647553466	38.2228356950067	55.1617758703047	52.1598281893352	61.9378100552596	73.3222016262943	1.41877724196794	4.38816303196086e-24	5.11147857172908e-22	1.82640097494077	6.16427346385922e-41	5.81107725457864e-39	2.27801585605151	3.06793345592778e-76	2.71065512941467e-74	2.22574481330605	2.98174759372289e-48	2.31317352215258e-46	2.49299498516806	9.84778380598888e-28	7.90199755742625e-26	2.6713054073241	3.95469646961469e-25	3.06752622826446e-23
"G8H8D9"	"UL18"	"Virus"	690.5	1460	2029	4502	5368	7585	11946	18.5386337112523	39.0434156455408	55.435406451157	125.740918971196	151.348085254244	214.226306096281	340.026017324422	1.02310538600321	2.43854498122057e-15	2.18499882996802e-13	1.55970089560235	1.57908500265779e-34	1.34337768030985e-32	2.77759902427645	4.80989351788716e-127	5.69034860251735e-125	3.03908769527947	1.40725438715941e-93	1.66533053070288e-91	3.52678076146903	5.07322516144329e-52	7.53535847915651e-50	4.2274570208891	7.9289919051852e-55	1.90869974103786e-52
"H9E925"	"UL19"	"Virus"	4542.5	14731	31964	69348	93409	124497	159919	121.954863149251	393.937367037302	873.305732777123	1936.89054838172	2633.62021153385	3516.22049176911	4551.86846346093	1.75222632128753	5.65304122338552e-51	9.40692978815271e-49	2.89309182863466	1.34625286539598e-129	2.93483124656324e-127	4.03812862923411	7.77223057430397e-289	3.87501210061727e-286	4.43414789331182	4.05426012362023e-193	2.02191744165117e-190	4.80035953805156	1.73693338704634e-87	1.10232108863368e-84	5.15575662109764	8.96158882152025e-76	6.95120572922588e-73
"H9E908"	"UL2"	"Virus"	1200	13063	25389	27153	27174	26039	25736	32.2185376178359	349.331601765548	693.666601472856	758.383645674118	766.157389847024	735.430294586824	732.538890160834	3.5293718147689	4.36218711384262e-167	7.62183143466151e-164	4.51517350136385	2.07395860265696e-259	7.23396760606746e-256	4.64263051319074	0	0	4.62139317413232	5.98326000291104e-199	3.21347087233269e-196	4.52091371387249	9.74565661597995e-79	3.4017214418078e-76	4.3284495821672	1.18105618355844e-57	3.29798128696859e-55
"F8RGC5"	"UL20"	"Virus"	9.75	105	160	242	204	219	295	0.262060726583698	2.80791687861766	4.37144654124451	6.75906316993101	5.75167835168886	6.1853079808946	8.39675833841491	3.70086834219428	9.24650559606118e-21	9.6453474046077e-19	4.15348539044053	4.13700328292898e-32	3.24266684288906e-30	4.48173604910298	2.71874774151001e-49	1.91685446825655e-47	4.54581935650193	1.81453251164076e-39	1.20657771393103e-37	5.01271413555144	2.99536202044189e-33	2.82575976550066e-31	4.57274882340749	5.03596021901928e-32	5.3266724680263e-30
"F8RG07"	"UL21"	"Virus"	1747	2576	4926	8860	11348	14796	20919	46.9553703614915	68.8875607554199	134.585910388565	247.459916056152	319.951205563555	417.889574818797	595.429788750175	0.834371404972722	5.71418514958453e-12	4.24855744791981e-10	1.43948421386606	3.18397944015987e-34	2.64421911601848e-32	2.02634671365311	4.02384873342535e-82	3.69558738938275e-80	2.64715617737271	5.59206809958694e-79	6.00674145712555e-77	3.32446273734968	2.83623365976795e-48	3.80764368823847e-46	3.65986251315051	2.31190473337053e-44	3.22788138873193e-42
"G8H977"	"UL22"	"Virus"	348.25	886	2413	4240	5622	6795	8333	9.35029035619521	23.6934700424309	65.9268781501438	118.423255539287	158.509488692131	191.91400790036	237.18707536953	1.41877965080303	5.55747772253982e-23	6.26471158110174e-21	2.88150294276668	8.19778757462607e-97	1.32994804931608e-94	3.71673620752944	6.45429625988427e-191	1.2175942674052e-188	4.11399817141698	3.1108001528926e-147	7.4895195405159e-145	4.35744278039746	4.16844109275015e-71	1.03928168816031e-68	4.53272816591501	5.19854923460542e-60	1.72814629556097e-57
"C0L315"	"UL23"	"Virus"	655.25	4020	7837	10128	9153	10362	10249	17.5919395320041	107.50310335279	214.118915898333	282.875172665542	258.064274279451	292.658270767259	291.723309187845	2.74643950856879	4.54494156992126e-98	1.67182087537788e-95	3.71542003286691	2.48993509358121e-175	8.27132724420121e-173	4.0935658496336	6.12967629071942e-257	2.03738764329626e-254	3.89611572628892	2.82100659940539e-144	6.56542269234948e-142	4.01064782088272	3.5866144769466e-64	7.58731989804976e-62	3.88358065331564	5.15880249745341e-48	8.57466672255292e-46
"G8H8L4"	"UL24"	"Virus"	597.25	2823	7609	10635	12225	11974	10491	16.0348347076433	75.4928509365491	207.889604577059	297.035689306679	344.677783575472	338.186656453114	298.611497384104	2.43664408868956	5.95319005987187e-76	1.48595876173016e-73	3.84211767710681	3.18014136134023e-183	1.23248145203941e-180	4.30316810714192	7.78426636569998e-277	3.01856551292144e-274	4.43790860513532	1.78849635613691e-178	7.34545974032231e-176	4.32795164700304	2.6507121221372e-72	6.85356345357028e-70	4.01676696084353	1.39931872719558e-50	2.64017406339253e-48
"D3YPI2"	"UL25"	"Virus"	615.25	2017	4661	9469	11885	14550	17861	16.517191627438	53.9387461349697	127.345702054629	264.469294033375	335.091652989324	410.941694621079	508.388137906538	1.71366394700221	1.28569724011012e-39	1.91185915130417e-37	2.98014975030392	8.62794772109442e-117	1.54329649493217e-114	4.066876071315	3.94835671481995e-252	1.14831374456014e-249	4.36094330799764	1.02990557889361e-173	3.59540037591758e-171	4.60216707102506	1.15745097257102e-79	4.48898068862127e-77	4.8981242891518	9.45486663022962e-69	4.40029492970886e-66
"F8RDC3"	"UL26"	"Virus"	1665.25	4605	10406	16425	20678	23797	29466	44.7072087095775	123.147211676517	284.30795442619	458.750465149243	583.005906648148	672.108557175108	838.708071863504	1.57169010712035	8.22658931288544e-39	1.17338025934197e-36	2.75256362410692	8.54946463432996e-113	1.49102663222715e-110	3.42044946938517	1.0875905589002e-207	2.23275944150689e-205	3.70065423282815	1.85075917999877e-140	4.03812518585981e-138	3.83753766931859	3.66069688018451e-61	6.72508550541265e-59	4.13041440691442	9.08962778526377e-54	1.98295911152895e-51
"A1Z0P7"	"UL27"	"Virus"	2998	17103	35925	51534	61594	76409	90302	80.5013127679601	457.369546428551	981.526356213807	1439.34529503812	1736.6121391859	2158.05113019258	2570.31888635777	2.62474509485123	1.29579081246366e-104	6.03752132553903e-102	3.67124547880806	1.45483227820375e-192	6.7659399818329e-190	4.17310176249666	4.16851835362596e-301	2.42468817569243e-298	4.43843770774602	4.13183068031146e-192	1.92322945399564e-189	4.74080144143594	1.25386541687302e-85	6.73325728860813e-83	4.86912030590343	1.68803472891374e-69	9.06474649426677e-67
"Q25BY8"	"UL28"	"Virus"	62.75	975	1985	2473	2457	2650	2667	1.68427414314028	26.0735138728783	54.2332586523148	69.0709223935512	69.273890735782	74.8450509103684	75.9123880967883	3.91163123327325	1.35226678252624e-99	5.55940737827992e-97	5.13934370872227	3.51318539907928e-179	1.28989375494616e-176	5.69176953387379	3.29031446908262e-245	8.83322884392181e-243	5.59414501558381	4.57678294336851e-171	1.4525044777545e-168	5.58131353580515	2.28003311317416e-87	1.32640926358907e-84	5.15716197498669	5.8205619075758e-65	2.39019662804628e-62
